               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11462,           0.0078868,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00161,             0.00161,             0.08551
                   1,            0.075931,           0.0081157,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031589,           0.0031589,            0.070859
                   2,            0.070596,           0.0069638,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044332,           0.0044332,            0.055933
                   3,            0.067606,           0.0060994,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052698,           0.0052698,             0.04057
                   4,            0.064716,           0.0056571,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055745,           0.0055745,            0.024674
                   5,            0.062063,           0.0052425,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053405,           0.0053405,           0.0082405
                   6,             0.05965,           0.0050397,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041094,           0.0041094,           0.0041094
                   7,            0.056298,           0.0047896,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041094,           0.0041094,           0.0041094
                   8,            0.052791,           0.0046389,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002855,            0.002855,            0.002855
                   9,            0.048686,           0.0043242,                   0,             0.71816,             0.59971,             0.64417,             0.34254,            0.046933,           0.0030897,                   0,           0.0018594,           0.0018594,           0.0018594
                   0,            0.093071,            0.005304,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014442,           0.0014442,            0.087903
                   0,            0.093071,            0.005304,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014442,           0.0014442,            0.087903
                   1,            0.061287,           0.0055135,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028353,           0.0028353,              0.0726
                   1,            0.061287,           0.0055135,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028353,           0.0028353,              0.0726
                   2,            0.057606,           0.0046866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039873,           0.0039873,            0.057058
                   2,            0.057606,           0.0046866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039873,           0.0039873,            0.057058
                   3,             0.05387,           0.0041749,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047579,           0.0047579,            0.041135
                   3,             0.05387,           0.0041749,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047579,           0.0047579,            0.041135
                   4,            0.053006,           0.0037611,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005065,            0.005065,            0.024748
                   4,            0.053006,           0.0037611,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005065,            0.005065,            0.024748
                   5,            0.049754,           0.0036682,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049028,           0.0049028,           0.0078912
                   5,            0.049754,           0.0036682,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049028,           0.0049028,           0.0078912
                   6,             0.04808,           0.0033714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038376,           0.0038376,           0.0038376
                   6,             0.04808,           0.0033714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038376,           0.0038376,           0.0038376
                   7,            0.046226,           0.0033139,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038376,           0.0038376,           0.0038376
                   7,            0.046226,           0.0033139,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038376,           0.0038376,           0.0038376
                   8,             0.04167,           0.0032042,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027446,           0.0027446,           0.0027446
                   8,             0.04167,           0.0032042,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027446,           0.0027446,           0.0027446
