   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.75736,             0.58651,             0.64267,             0.34843,            0.050078,           0.0035153,                   0,             0.00945,             0.11044,             0.91551,             0.00067,              2.9425,             0.84744,             0.10251,             0.05307,             0.60842,              0.9379,              1.0765,              1.0929,                 0.2,              4.0458,                   0,             0.01431,             0.80293,             0.43613,                   0,             0.09176,             0.53876,                   0,                   0,                   0,                 0.5,              0.9745,                   0,                   0,              2.5907
             0.75546,             0.58504,             0.66286,             0.35516,            0.049095,           0.0034542,                   0,             0.00944,             0.10825,             0.91551,             0.00067,              2.9122,             0.84083,              0.1024,             0.05307,             0.60883,             0.92642,              1.1053,              1.1036,                 0.2,              4.0816,                   0,             0.01431,             0.79627,             0.42886,                   0,              0.0902,             0.53876,                   0,                   0,                   0,                 0.5,             0.96987,                   0,                   0,              2.5907
             0.71562,             0.57038,             0.62212,             0.32381,            0.049258,           0.0033732,                   0,             0.00921,             0.11215,             0.91551,              0.0007,              2.7898,             0.82178,             0.10373,             0.05174,             0.59006,             0.95719,             0.99301,              1.0849,                 0.2,              4.1552,                   0,             0.01374,             0.76012,             0.43699,                   0,             0.08802,             0.53876,                   0,                   0,                   0,                 0.5,             0.97106,                   0,                   0,              2.3517
             0.76347,             0.57267,             0.65364,             0.33013,            0.051619,           0.0033553,                   0,             0.00933,             0.11451,             0.91057,             0.00067,              2.8141,             0.85192,             0.10251,             0.05307,             0.61378,             0.94822,              1.0912,              1.0363,                 0.2,              4.0521,                   0,              0.0143,             0.80271,              0.4287,                   0,             0.09089,              0.5383,                   0,                   0,                   0,                 0.5,             0.99031,                   0,                   0,              2.6149
             0.74866,             0.62893,             0.68208,             0.36052,            0.048531,           0.0033484,                   0,             0.00933,             0.11466,             0.91009,             0.00067,              2.8068,             0.85464,             0.10251,             0.05298,             0.61378,             0.94822,              1.0971,              1.0366,                 0.2,              4.0444,                   0,             0.01437,              0.8042,             0.42865,                   0,             0.09055,             0.53975,                   0,                   0,                   0,                 0.5,             0.99383,                   0,                   0,              2.6149
             0.68662,             0.55718,             0.61298,             0.31563,            0.053521,           0.0034565,                   0,             0.01132,              0.1129,             0.97564,             0.00053,              3.4937,             0.94202,             0.10251,             0.05397,             0.65963,              1.1054,              1.1301,             0.94635,                 0.2,              4.1727,                   0,             0.01795,             0.82092,             0.31564,                   0,             0.09067,              0.5383,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6149
             0.74828,             0.60704,             0.66723,             0.35381,            0.046941,           0.0033471,                   0,             0.00971,             0.12272,             0.89394,             0.00066,              2.7865,             0.86338,             0.10823,             0.05081,             0.61647,             0.98174,              1.0511,              1.1024,                 0.2,              4.0521,                   0,             0.01329,             0.76137,             0.42295,                   0,             0.09089,             0.54885,                   0,                   0,                   0,                 0.5,             0.99031,                   0,                   0,              2.4039
             0.75915,             0.60557,             0.66642,              0.3333,            0.044907,           0.0040207,                   0,             0.00807,             0.09589,             0.93368,             0.00075,               3.008,             0.85002,             0.10634,             0.04634,             0.60842,             0.86796,              1.0822,              1.3603,                 0.2,              4.6222,                   0,              0.0131,             0.80293,             0.43613,                   0,             0.09038,             0.53876,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8029
             0.71643,             0.54086,             0.61863,             0.34243,            0.049192,            0.004217,                   0,             0.00945,             0.11066,             0.91701,             0.00067,               2.841,             0.84744,             0.10251,             0.05307,             0.60842,             0.92008,              1.1649,              1.1539,                 0.2,              4.2224,                   0,             0.01472,             0.74732,             0.40971,                   0,             0.09833,             0.53876,                   0,                   0,                   0,                 0.5,              0.9745,                   0,                   0,              2.7487
              0.7059,              0.6129,             0.66409,             0.34966,            0.052207,           0.0036346,                   0,             0.00514,             0.11044,              0.8407,             0.00067,              3.7066,             0.84615,             0.10251,             0.05416,             0.66708,              0.9379,              1.2212,             0.94067,                 0.2,              4.4509,                   0,             0.01166,                 0.9,             0.43613,                   0,             0.07299,             0.53876,                   0,                   0,                   0,                 0.5,             0.91555,                   0,                   0,                   2
