               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099558,           0.0060227,                   0,             0.15466,             0.13605,            0.050319,            0.015109,            0.040532,           0.0051666,                   0,           0.0028041,           0.0028041,            0.072175
                   1,            0.076603,           0.0057508,                   0,            0.040607,            0.053061,           0.0084393,            0.003155,            0.054114,           0.0031595,                   0,           0.0056124,           0.0056124,            0.022834
                   2,            0.076396,           0.0051489,                   0,              0.1384,             0.16054,            0.053438,             0.02141,            0.043016,           0.0037513,                   0,           0.0065393,           0.0065393,           0.0065393
                   3,             0.07043,           0.0045815,                   0,             0.22926,              0.2449,              0.1499,            0.065945,             0.03413,           0.0040298,                   0,           0.0065393,           0.0065393,           0.0065393
                   4,            0.066951,           0.0043659,                   0,             0.38975,             0.23265,             0.19121,            0.093679,              0.0333,           0.0039741,                   0,           0.0065385,           0.0065385,           0.0065385
                   5,            0.065082,           0.0039801,                   0,             0.34391,             0.36599,             0.25991,             0.10624,            0.032329,           0.0033271,                   0,           0.0065374,           0.0065374,           0.0065374
                   6,            0.062229,           0.0038494,                   0,             0.46915,             0.34286,             0.30296,             0.13505,            0.031034,           0.0032277,                   0,           0.0065359,           0.0065359,           0.0065359
                   7,            0.060749,           0.0038016,                   0,              0.4653,             0.30068,             0.27705,             0.12443,            0.031335,           0.0036809,                   0,           0.0065341,           0.0065341,           0.0065341
                   8,            0.060183,             0.00367,                   0,             0.55769,             0.32789,             0.34188,             0.14576,            0.032644,           0.0033334,                   0,            0.006532,            0.006532,            0.006532
                   9,            0.059264,           0.0036796,                   0,             0.56262,             0.41497,             0.39968,              0.1976,            0.027975,           0.0029372,                   0,           0.0065296,           0.0065296,           0.0065296
                  10,            0.059015,           0.0036458,                   0,             0.57299,             0.39617,             0.38994,             0.16209,            0.029957,           0.0030696,                   0,           0.0065268,           0.0065268,           0.0065268
                  11,            0.056717,           0.0036194,                   0,             0.61978,             0.38231,             0.42564,             0.19799,            0.028426,           0.0030811,                   0,           0.0065237,           0.0065237,           0.0065237
                  12,            0.055545,           0.0034981,                   0,             0.55334,             0.46667,             0.45304,             0.22093,            0.027513,           0.0029453,                   0,           0.0065203,           0.0065203,           0.0065203
                  13,            0.055953,            0.003458,                   0,             0.63124,             0.45034,             0.48232,             0.23571,             0.02724,           0.0029745,                   0,           0.0065165,           0.0065165,           0.0065165
                  14,            0.057014,           0.0035884,                   0,              0.6097,             0.43995,             0.44349,             0.21522,            0.027245,           0.0032281,                   0,           0.0065125,           0.0065125,           0.0065125
                  15,            0.055621,           0.0036172,                   0,             0.64486,              0.4595,             0.51785,             0.25861,            0.026504,           0.0027728,                   0,           0.0065081,           0.0065081,           0.0065081
                  16,            0.054216,           0.0035204,                   0,             0.59161,             0.45034,             0.45687,             0.24547,            0.026636,           0.0030442,                   0,           0.0065034,           0.0065034,           0.0065034
                  17,            0.053398,           0.0035243,                   0,             0.59727,             0.49388,             0.51381,             0.26851,            0.025782,           0.0029182,                   0,           0.0064983,           0.0064983,           0.0064983
                  18,            0.053109,           0.0034009,                   0,             0.52835,             0.52517,              0.5031,             0.24479,            0.025331,           0.0028757,                   0,            0.006493,            0.006493,            0.006493
                  19,            0.053217,           0.0034324,                   0,             0.64691,              0.5415,              0.5479,             0.27427,            0.024937,           0.0027576,                   0,           0.0064873,           0.0064873,           0.0064873
                  20,            0.052553,           0.0033788,                   0,             0.66428,             0.52653,             0.54785,             0.28213,            0.024219,             0.00274,                   0,           0.0064813,           0.0064813,           0.0064813
                  21,            0.051484,           0.0034094,                   0,             0.67434,             0.51274,             0.54663,             0.28682,            0.024416,           0.0026978,                   0,            0.006475,            0.006475,            0.006475
                  22,            0.051522,           0.0034374,                   0,             0.66657,             0.48844,             0.52725,             0.28709,            0.023668,           0.0027405,                   0,           0.0064684,           0.0064684,           0.0064684
                  23,            0.050434,           0.0034524,                   0,             0.63185,              0.4787,             0.52346,             0.29872,            0.024132,           0.0028522,                   0,           0.0064614,           0.0064614,           0.0064614
                  24,             0.05229,           0.0034313,                   0,             0.69512,             0.53045,             0.57015,             0.31028,            0.023844,            0.002701,                   0,           0.0064541,           0.0064541,           0.0064541
                  25,            0.049887,           0.0034086,                   0,             0.67903,             0.52381,              0.5601,             0.31731,            0.023342,           0.0026835,                   0,           0.0064466,           0.0064466,           0.0064466
                  26,            0.048913,           0.0033376,                   0,             0.63958,             0.56012,             0.58623,             0.32934,            0.023145,            0.002587,                   0,           0.0064386,           0.0064386,           0.0064386
                  27,            0.049612,           0.0033459,                   0,             0.69787,             0.53469,             0.58413,             0.33273,            0.023039,           0.0025848,                   0,           0.0064304,           0.0064304,           0.0064304
                  28,             0.04936,           0.0033394,                   0,             0.66596,             0.53333,             0.58395,               0.336,            0.022535,            0.002645,                   0,           0.0064219,           0.0064219,           0.0064219
                  29,            0.049966,           0.0032823,                   0,             0.69008,             0.56652,             0.60016,             0.35145,            0.022554,           0.0025223,                   0,            0.006413,            0.006413,            0.006413
                  30,            0.049924,           0.0032282,                   0,             0.69371,             0.54558,             0.59213,             0.34777,            0.022728,           0.0025299,                   0,           0.0064039,           0.0064039,           0.0064039
                  31,            0.049623,           0.0033348,                   0,             0.72835,             0.53623,             0.61031,             0.34884,            0.022412,           0.0025318,                   0,           0.0063944,           0.0063944,           0.0063944
                  32,            0.049235,            0.003375,                   0,             0.69911,             0.57551,             0.61108,             0.34346,            0.022367,           0.0025507,                   0,           0.0063846,           0.0063846,           0.0063846
                  33,            0.049918,           0.0033928,                   0,             0.71492,             0.57415,             0.62308,             0.35524,            0.022091,           0.0025369,                   0,           0.0063745,           0.0063745,           0.0063745
                  34,            0.048118,           0.0032935,                   0,             0.68454,             0.58231,             0.61698,             0.35505,            0.021901,           0.0024939,                   0,           0.0063642,           0.0063642,           0.0063642
                  35,            0.047245,           0.0032522,                   0,              0.7145,             0.56871,             0.62933,             0.36091,            0.021822,           0.0024803,                   0,           0.0063534,           0.0063534,           0.0063534
                  36,            0.047482,            0.003202,                   0,             0.74445,             0.57279,             0.63596,             0.36599,            0.021909,           0.0024443,                   0,           0.0063424,           0.0063424,           0.0063424
                  37,             0.04686,           0.0032508,                   0,             0.73689,             0.57551,             0.63251,             0.36767,            0.021767,           0.0024586,                   0,           0.0063311,           0.0063311,           0.0063311
                  38,             0.04664,           0.0031999,                   0,             0.70714,                 0.6,             0.64097,             0.37271,            0.021702,           0.0024535,                   0,           0.0063195,           0.0063195,           0.0063195
                  39,            0.047676,           0.0032778,                   0,             0.72737,             0.59166,             0.63653,             0.36829,            0.021714,           0.0024454,                   0,           0.0063076,           0.0063076,           0.0063076
                  40,            0.046418,           0.0031336,                   0,             0.74541,             0.56599,             0.63672,             0.37048,            0.021655,           0.0024486,                   0,           0.0062954,           0.0062954,           0.0062954
                  41,            0.047387,            0.003055,                   0,             0.70637,             0.58639,             0.63396,             0.36917,            0.021644,           0.0024437,                   0,           0.0062828,           0.0062828,           0.0062828
                  42,            0.046241,           0.0031223,                   0,             0.69394,             0.60816,             0.64255,             0.37231,            0.021507,           0.0024435,                   0,             0.00627,             0.00627,             0.00627
                  43,            0.045391,           0.0030883,                   0,             0.75214,             0.56599,              0.6407,             0.37619,            0.021342,           0.0024378,                   0,           0.0062569,           0.0062569,           0.0062569
                  44,            0.045823,           0.0030619,                   0,             0.79505,             0.53333,             0.63736,             0.37754,            0.021268,           0.0024397,                   0,           0.0062435,           0.0062435,           0.0062435
                  45,            0.047223,           0.0032265,                   0,              0.6972,             0.58367,             0.63362,              0.3794,            0.021265,           0.0024566,                   0,           0.0062298,           0.0062298,           0.0062298
                  46,            0.045365,           0.0030216,                   0,             0.77626,             0.54422,             0.63777,             0.37852,             0.02125,            0.002448,                   0,           0.0062158,           0.0062158,           0.0062158
                  47,            0.047438,           0.0031444,                   0,             0.69128,             0.59728,             0.63909,             0.37782,            0.021228,           0.0024405,                   0,           0.0062015,           0.0062015,           0.0062015
                  48,            0.045221,           0.0030095,                   0,              0.7904,             0.54422,             0.64099,             0.37971,            0.021187,           0.0024289,                   0,           0.0061869,           0.0061869,           0.0061869
                  49,            0.046203,           0.0031322,                   0,             0.67459,             0.61767,             0.64142,             0.38058,            0.021177,           0.0024258,                   0,           0.0061721,           0.0061721,           0.0061721
                  50,            0.045571,           0.0030875,                   0,             0.67654,             0.62036,             0.64458,             0.38242,            0.021178,           0.0024209,                   0,           0.0061569,           0.0061569,           0.0061569
                  51,            0.045425,           0.0032051,                   0,             0.73076,             0.57687,             0.64347,             0.38473,            0.021154,           0.0024169,                   0,           0.0061415,           0.0061415,           0.0061415
                  52,            0.046297,           0.0032019,                   0,             0.73021,             0.57814,             0.64468,             0.38466,            0.021094,           0.0024233,                   0,           0.0061258,           0.0061258,           0.0061258
                  53,            0.044926,           0.0031232,                   0,             0.77816,             0.55918,             0.64814,             0.38531,             0.02105,           0.0024405,                   0,           0.0061098,           0.0061098,           0.0061098
                  54,             0.04437,           0.0030881,                   0,             0.77168,             0.55639,             0.64546,             0.38816,             0.02103,           0.0024475,                   0,           0.0060935,           0.0060935,           0.0060935
                  55,            0.043551,           0.0030429,                   0,             0.76006,             0.56463,             0.64516,              0.3886,            0.021014,           0.0024462,                   0,            0.006077,            0.006077,            0.006077
                  56,            0.045468,           0.0030058,                   0,             0.77356,             0.55776,             0.64391,             0.38817,            0.021005,           0.0024436,                   0,           0.0060601,           0.0060601,           0.0060601
                  57,            0.043576,           0.0030165,                   0,             0.78445,              0.5551,             0.64675,             0.38844,            0.020979,           0.0024419,                   0,            0.006043,            0.006043,            0.006043
                  58,            0.044014,           0.0029424,                   0,             0.79139,             0.55226,             0.64954,             0.39015,            0.020952,           0.0024363,                   0,           0.0060257,           0.0060257,           0.0060257
                  59,            0.043784,           0.0029603,                   0,             0.78305,              0.5551,             0.65204,             0.39038,            0.020911,           0.0024338,                   0,            0.006008,            0.006008,            0.006008
                  60,            0.043578,           0.0029595,                   0,             0.78039,             0.55646,             0.65215,             0.39268,            0.020875,           0.0024317,                   0,           0.0059901,           0.0059901,           0.0059901
                  61,            0.043058,           0.0029015,                   0,             0.77793,             0.55782,             0.65196,             0.39267,            0.020857,           0.0024299,                   0,           0.0059719,           0.0059719,           0.0059719
                  62,            0.042847,           0.0029229,                   0,             0.79315,             0.55374,              0.6547,             0.39291,            0.020858,           0.0024269,                   0,           0.0059535,           0.0059535,           0.0059535
                  63,            0.043522,           0.0029888,                   0,             0.77334,             0.56735,             0.65709,             0.39415,            0.020843,           0.0024245,                   0,           0.0059348,           0.0059348,           0.0059348
                  64,            0.042242,           0.0028901,                   0,             0.77649,             0.56719,             0.65722,             0.39537,            0.020825,           0.0024228,                   0,           0.0059158,           0.0059158,           0.0059158
