   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.4251,             0.36054,             0.29605,              0.1376,            0.029582,           0.0023944,                   0,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.52473,             0.42449,             0.39971,             0.19343,            0.016785,            0.002125,                   0,             0.00913,             0.10262,              0.9528,             0.00053,              3.3606,             0.85122,             0.10181,             0.03287,             0.54338,              1.0061,              1.1656,             0.94326,                 0.2,              2.9005,                   0,               0.015,             0.72061,             0.39348,                   0,                 0.1,             0.57587,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.52318,             0.44082,             0.42604,             0.21987,            0.019338,           0.0022911,                   0,             0.00846,             0.09116,             0.96566,             0.00053,              3.1976,             0.80479,             0.09657,             0.03554,             0.57676,              1.0358,              1.1656,             0.94326,                 0.2,              3.4633,                   0,             0.01442,             0.63921,              0.4238,                   0,             0.09318,             0.59903,                   0,                   0,                   0,                 0.5,             0.92103,                   0,                   0,              2.6057
             0.14371,             0.35646,             0.10023,            0.038868,            0.027797,           0.0026569,                   0,             0.00738,             0.10262,                0.98,             0.00059,               2.997,             0.89799,             0.07287,             0.04361,             0.45563,              1.2736,               1.241,             0.78667,                 0.2,               3.075,                   0,             0.01524,             0.72061,             0.39348,                   0,             0.11211,             0.57587,                   0,                   0,                   0,                 0.5,             0.64491,                   0,                   0,                   2
             0.51903,             0.32447,             0.30954,             0.15075,            0.032754,           0.0025726,                   0,             0.00976,             0.10253,               0.937,             0.00052,                   3,             0.79251,                 0.1,                0.05,                 0.5,                   1,              1.0535,               1.003,                 0.2,              3.9568,                   0,             0.01541,             0.70255,             0.39364,                   0,             0.10005,             0.51283,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0907
             0.46236,             0.40544,             0.37947,             0.17841,            0.029005,            0.002374,                   0,             0.01003,             0.10052,             0.93539,              0.0005,                   3,             0.80033,                 0.1,                0.05,             0.49882,              1.0095,             0.99405,                   1,                 0.2,              3.9976,                   0,               0.015,             0.70854,             0.39871,                   0,                 0.1,             0.49414,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9373
              0.4315,             0.43129,             0.33883,             0.15452,            0.028679,           0.0023518,                   0,             0.00915,             0.10488,             0.93812,             0.00052,                   3,             0.79903,             0.09952,              0.0488,             0.50771,             0.99334,              1.0122,               1.003,                 0.2,               4.121,                   0,             0.01595,             0.71021,             0.37764,                   0,             0.10005,             0.49179,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0907
             0.31516,             0.37415,              0.2563,             0.12283,            0.028937,           0.0022775,                   0,              0.0112,             0.10244,             0.93917,             0.00054,               2.945,             0.75433,                 0.1,                0.05,             0.52055,              1.0225,             0.82415,              1.0689,                 0.2,              4.2958,                   0,             0.01579,             0.64926,             0.38461,                   0,             0.09532,             0.42902,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9373
             0.34598,             0.31565,             0.19172,            0.092486,            0.031796,           0.0026517,                   0,             0.01093,             0.07999,             0.92431,             0.00046,              3.2386,             0.85204,             0.10242,              0.0561,             0.50242,              1.0461,             0.94858,              1.0433,                 0.2,              3.8922,                   0,             0.01477,             0.69719,             0.42669,                   0,             0.09998,             0.51136,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9373
             0.26838,             0.35102,             0.17635,            0.089964,            0.029829,           0.0024699,                   0,             0.01002,             0.10052,             0.91108,              0.0005,              2.7468,             0.71508,             0.08849,                0.05,             0.39924,              1.1021,             0.94291,             0.99019,                 0.2,              3.5277,                   0,             0.01538,             0.61309,             0.46109,                   0,             0.09013,             0.58399,                   0,                   0,                   0,                 0.5,             0.88146,                   0,                   0,              4.5287
